CountryName,CountryCode,IndicatorName,IndicatorCode,Year,GDPValue
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1986,405463417.11746
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1987,487602457.74641603
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1988,596423607.114715
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1989,695304363.031101
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1990,764887117.194486
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1991,872138715.083799
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1992,958463184.357542
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1993,1082979720.6703901
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1994,1245688268.15642
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1995,1320474860.3352
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1996,1379960893.85475
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1997,1531944134.0782099
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1998,1665100558.65922
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1999,1722798882.68156
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2000,1873452513.96648
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2001,1920111731.84358
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2002,1941340782.1229103
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2003,2021229050.27933
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2004,2228491620.11173
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2005,2330726256.9832397
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2006,2424581005.58659
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2007,2615083798.88268
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2008,2745251396.64804
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2009,2498882681.56425
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2010,2390502793.2960896
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2011,2549720670.3910604
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2012,2534636871.50838
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2013,2701675977.6536303
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2014,2765363128.49162
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2015,2919553072.6257
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2016,2965921787.7095
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2017,3056424581.00559
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.111111
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961,548888895.5555559
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1962,546666677.777778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1963,751111191.111111
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1964,800000044.4444441
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1965,1006666637.77778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1966,1399999966.6666698
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1967,1673333417.77778
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1968,1373333366.6666698
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1969,1408888922.22222
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1970,1748886595.5555599
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1971,1831108971.1111102
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1972,1595555475.5555599
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1973,1733333264.4444401
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1974,2155555497.77778
